"","place","africa_id","asia_id","europe_id","is_place"
"300","Peter","","7724725; 1113613","7030756; 7026545; 4001020; 4001021; 7074624; 7102511; 7208585; 7455202; 8060277; 7028329; 1028781; 4002752; 7159737; 7009981; 7118746; 7118744; 7118742; 7118741; 7118739; 7118740; 7457324; 1106031; 7457316; 7025688; 7028573; 7017233; 7447147; 7889158; 7028062; 7012692; 7102514; 7102513; 7102515; 8705344; 1026044; 1026045; 4010016; 1026046; 1136967; 1046607; 7040722; 8712027; 7028167; 7028181; 7030698; 7030702; 7082548; 7030731; 1100110",1
"301","Novae","","","7009970; 1026963",1
"302","Singidunum","","","7016816",1
"303","Dalmatia","","","7015451",1
"304","Viminakion","","","",0
"305","Philippoupolis","","","",0
"306","Apsech","","","",0
"307","Adrianople","","1001232; 7002317","",1
"308","Sergius","","","",0
"309","Rhegion","","","7004296",1
"310","Phokas","","7879492; 7882709","7237020; 7235672",1
"311","Constantina","","","7752872; 1061969; 7338373",1
"312","Asia","","1000004; 7906581; 7906708; 7002294; 7934195; 1009848; 8697475; 7031110; 7000208; 7593941; 7017399; 7964993; 7016821; 4010700","",1
"313","Zongoes","","","",0
"314","Phokas","","7879492; 7882709","7237020; 7235672",1
"315","Germanus","","","",0
"316","Eudokia","","","",0
"317","Herakleios","","","",0
"318","Pylai","","","",0
"319","Cilicia","","5004380; 7002470; 7727672","",1
"320","Sain","","7545430; 7943035; 7936198; 7939156; 7943222; 7943592; 7935517; 8053703; 7960213; 8036547; 7934519; 7949573; 8007016; 7990823; 7928447; 8007235; 7917383; 8033977; 7964674; 8059516; 7919939; 7935950; 7718200; 8005218; 7951620; 7941346; 8055224; 7955326; 7978326; 7991959; 8035267; 7948433; 8021901; 8020898; 7950450; 8038838; 8055249; 8054802; 7983579; 7940007; 7945837; 7939667; 8625795; 7926789; 7947867; 7920249; 7966701; 8030136; 1099893; 8035270; 8026685; 8029850; 8053886; 8037351; 8625794; 7920454; 7567837; 1083203; 7952808; 7994075; 8053928; 7928105","7654547; 7156997; 4009613",1
"321","Albania","","","7006417; 7015534; 1031883",1
"322","Sarbaros","","","",0
"323","Taranton","","","",0
"324","Taranton","","","",0
"325","Syria","7532324","7002858; 7002280; 8711750; 7001407; 7441487; 6004687; 7594765; 1000140; 7879433","7011190",1
"326","Lazica","","6003353","",1
"327","Gazakos","","","",0
"328","Dastagerd","","","",0
"329","Ctesiphon","","6001610; 6005335","",1
"330","Ctesiphon","","6001610; 6005335","",1
"331","Kardarigas","","","",0
"332","Kardarigas","","","",0
"333","Kardarigas Are","","","",0
"334","Siazouros","","","",0
"335","Seirem","","","",0
"336","Goundabousan","","","",0
"337","Siroes","","","",0
"338","Siroes","","","",0
"339","Tiberias","","7001360; 7017529","",1
"340","Syrians","","","",0
"341","Pope Theodore","","","",0
"342","Cherson","","","7230557; 7017285; 6001336; 7011651",1
"343","Aboubacharos","","","",0
"344","Paradise","","7502375; 7965453; 7480751; 7932328; 7475522; 7481732","7885217; 7891715",1
